wp(GHz)	ve(GHz)	A1(dB)
1.3201640328065611	8.02	-1.0429700768138328
1.3261452290458093	8.02	-1.052435104858783
1.332126425285057	8.02	-1.0619426690068658
1.3381076215243048	8.02	-1.0714927625250628
1.3440888177635526	8.02	-1.0810853785726726
1.3500700140028004	8.02	-1.0907205102001925
1.3560512102420486	8.02	-1.1003981503481932
1.3620324064812963	8.02	-1.1101182918461927
1.368013602720544	8.02	-1.11988092741151
1.3739947989597918	8.02	-1.1296860496481143
1.3799759951990398	8.02	-1.1395336510454914
1.3859571914382878	8.02	-1.1494237239774494
1.3919383876775355	8.02	-1.159356260700971
1.3979195839167833	8.02	-1.169331253355035
1.403900780156031	8.02	-1.1793486939594213
1.4098819763952792	8.02	-1.1894085744135252
1.415863172634527	8.02	-1.1995108864951536
1.4218443688737747	8.02	-1.20965562185932
1.4278255651130225	8.02	-1.2198427720370193
1.4338067613522705	8.02	-1.2300723284340187
1.4397879575915185	8.02	-1.2403442823296107
1.4457691538307662	8.02	-1.2506586248753746
1.451750350070014	8.02	-1.2610153470939394
1.4577315463092617	8.02	-1.271414439877713
1.4637127425485097	8.02	-1.2818558939876206
1.4696939387877577	8.02	-1.29233970005184
1.4756751350270054	8.02	-1.3028658485645104
1.4816563312662532	8.02	-1.3134343298844446
1.487637527505501	8.02	-1.3240451342338306
1.493618723744749	8.02	-1.334698251696926
1.4995999199839969	8.02	-1.345393672218744
1.5055811162232446	8.02	-1.3561313856037187
1.5115623124624924	8.02	-1.366911381514386
1.5175435087017404	8.02	-1.3777336494700338
1.5235247049409884	8.02	-1.3885981788453525
1.529505901180236	8.02	-1.3995049588690747
1.5354870974194839	8.02	-1.410453978622603
1.5414682936587316	8.02	-1.4214452270386513
1.5474494898979796	8.02	-1.4324786928998325
1.5534306861372276	8.02	-1.4435543648372722
1.5594118823764753	8.02	-1.454672231329215
1.565393078615723	8.02	-1.4658322806995971
1.5713742748549708	8.02	-1.4770345011166197
1.5773554710942188	8.02	-1.4882788805913338
1.5833366673334668	8.02	-1.499565406976181
1.5893178635727145	8.02	-1.5108940679635487
1.5952990598119623	8.02	-1.5222648510843046
1.6012802560512103	8.02	-1.5336777437063294
1.6072614522904582	8.02	-1.5451327330330318
1.613242648529706	8.02	-1.55662980610187
1.6192238447689538	8.02	-1.568168949782824
1.6252050410082015	8.02	-1.579750150776917
1.6311862372474495	8.02	-1.591373395614672
1.6371674334866975	8.02	-1.603038670654588
1.6431486297259452	8.04	-1.6147461318545406
1.649129825965193	8.04	-1.6264956771148782
1.6551110222044407	8.04	-1.6382872171295315
1.6610922184436887	8.04	-1.6501207376559293
1.6670734146829367	8.04	-1.6619962242727442
1.6730546109221844	8.04	-1.6739136623783168
1.6790358071614322	8.04	-1.6858730371890434
1.6850170034006802	8.04	-1.6978743337377777
1.6909981996399281	8.04	-1.709917536872212
1.696979395879176	8.04	-1.7220026312532368
1.7029605921184237	8.04	-1.7341296013533265
1.7089417883576714	8.04	-1.7462984314548549
1.7149229845969194	8.04	-1.7585091056484572
1.7209041808361674	8.04	-1.7707616078313535
1.7268853770754151	8.04	-1.7830559217056479
1.7328665733146629	8.04	-1.795392030776647
1.7388477695539106	8.04	-1.807769918351155
1.7448289657931586	8.04	-1.8201895675357502
1.7508101620324066	8.04	-1.8326509612350455
1.7567913582716543	8.04	-1.8451540821499672
1.762772554510902	8.04	-1.8576989127759802
1.76875375075015	8.04	-1.8702854354013279
1.7747349469893978	8.04	-1.8829136321052753
1.7807161432286458	8.04	-1.8955834847562882
1.7866973394678936	8.04	-1.9082949750102567
1.7926785357071413	8.04	-1.9210480843086695
1.7986597319463893	8.04	-1.9338427938767926
1.8046409281856373	8.04	-1.9466790847218352
1.810622124424885	8.04	-1.9595569376310895
1.8166033206641328	8.04	-1.972476333170081
1.8225845169033805	8.04	-1.985437251680687
1.8285657131426285	8.04	-1.9984396732792409
1.8345469093818765	8.04	-2.0114835778546585
1.8405281056211242	8.04	-2.0245689450664988
1.846509301860372	8.06	-2.037696058305743
1.85249049809962	8.06	-2.050864741568401
1.8584716943388677	8.06	-2.0640748353922564
1.8644528905781157	8.06	-2.077326318642327
1.8704340868173635	8.06	-2.0906191699458136
1.8764152830566112	8.06	-2.1039533676901154
1.8823964792958592	8.06	-2.11732889002083
1.8883776755351072	8.06	-2.130745714839745
1.894358871774355	8.06	-2.144203819802807
1.9003400680136027	8.06	-2.1577031823180883
1.9063212642528504	8.06	-2.171243779543733
1.9123024604920984	8.06	-2.1848255883858996
1.9182836567313464	8.06	-2.198448585496657
1.9242648529705941	8.06	-2.2121127472719144
1.9302460492098419	8.06	-2.2258180498493103
1.9362272454490899	8.06	-2.239564469106075
1.9422084416883376	8.06	-2.2533519806569138
1.9481896379275856	8.06	-2.2671805598518433
1.9541708341668333	8.06	-2.281050181774036
1.960152030406081	8.06	-2.2949608212376345
1.966133226645329	8.06	-2.30891245278556
1.9721144228845768	8.06	-2.3229050506873063
1.9780956191238248	8.06	-2.33693858893672
1.9840768153630726	8.06	-2.3510130412497494
1.9900580116023205	8.06	-2.3651283810622084
1.9960392078415683	8.08	-2.37928480541544
2.0020204040808163	8.08	-2.393482504286938
2.008001600320064	8.08	-2.4077210232360082
2.013982796559312	8.08	-2.4220003347306442
2.0199639927985595	8.08	-2.4363204109486403
2.0259451890378073	8.08	-2.450681223775238
2.0319263852770555	8.08	-2.465082744800789
2.0379075815163032	8.08	-2.4795249453183743
2.043888777755551	8.08	-2.4940077963214335
2.0498699739947988	8.08	-2.5085312685013452
2.0558511702340465	8.08	-2.5230953322450294
2.0618323664732947	8.08	-2.537699957632515
2.0678135627125425	8.08	-2.552345114434465
2.07379475895179	8.08	-2.567030772109759
2.079775955191038	8.08	-2.5817568998029734
2.085757151430286	8.08	-2.5965234663419112
2.091738347669534	8.08	-2.6113304402350734
2.0977195439087817	8.08	-2.6261777896691423
2.1037007401480294	8.08	-2.641065482506437
2.109681936387277	8.08	-2.6559934862823393
2.1156631326265254	8.08	-2.670961768202739
2.121644328865773	8.1	-2.6859709358519996
2.127625525105021	8.1	-2.70102057322763
2.1336067213442687	8.1	-2.7161104059977466
2.1395879175835164	8.1	-2.731240400229982
2.1455691138227646	8.1	-2.7464105216508514
2.1515503100620124	8.1	-2.76162073564305
2.1575315063012606	8.1	-2.7768710072427973
2.1635127025405083	8.1	-2.7921613011370994
2.169493898779756	8.1	-2.807491581661043
2.175475095019004	8.1	-2.8228618127950496
2.1814562912582516	8.1	-2.838271958162103
2.1874374874974993	8.1	-2.853721981024991
2.193418683736747	8.1	-2.8692118442835
2.199399879975995	8.1	-2.8847415104716045
2.205381076215243	8.1	-2.9003109417546478
2.211362272454491	8.1	-2.915920099926474
2.217343468693739	8.1	-2.9315689464065957
2.2233246649329867	8.12	-2.947257603046329
2.2293058611722345	8.12	-2.962986833389056
2.2352870574114823	8.12	-2.9787556550302137
2.24126825365073	8.12	-2.9945640280944548
2.2472494498899778	8.12	-3.0104119123190536
2.2532306461292255	8.12	-3.026299267050945
2.2592118423684737	8.12	-3.0422260512437207
2.2651930386077215	8.12	-3.0581922234546495
2.2711742348469697	8.12	-3.0741977418416324
2.2771554310862174	8.12	-3.0902425641601643
2.283136627325465	8.12	-3.1063266477602927
2.289117823564713	8.12	-3.1224499495835234
2.2950990198039607	8.12	-3.1386124261597175
2.3010802160432084	8.12	-3.1548140336040085
2.307061412282456	8.12	-3.171054727613635
